CZ Basic,Normal ATARI Basic
KOM,REM
UDAJ,DATA
VSTUP,INPUT
BARVA,COLOR
UKAZ,LIST
NACTI,ENTER
AT,LET
KDYZ,IF
PRO,FOR
DALSI,NEXT
DINA,GOTO
DI NA,GO TO
RUTINA,GOSUB
TRAP,TRAP
TEST,BYE
POKR,CONT
SPO,COM
ZAVRI,CLOSE
MAZ,CLR
ST,DEG
REZ,DIM
KON,END
NOV,NEW
OTEV,OPEN
LADUJ,LOAD
ULOZ,SAVE
STAV,STATUS
SEKT,NOTE
BAJT,POINT
KIX,XIO
PRIV,ON
POUK,POKE
TISK,PRINT
RAD,RAD
CIST,READ
NASTAV,RESTORE
VRATSE,RETURN
DELEJ,RUN
STUJ,STOP
VEN,POP
VEM,PUT
DEJ,GET
GRAFIKA,GRAPHICS
BOD,PLOT
POZICE,POSITION
DOS,DOS
USECKA,DRAWTO
NASTAVBARVU,SETCOLOR
ZJISTI,LOCATE
ZVUK,SOUND
LTISK,LPRINT
CULOZ,CSAVE
CLADUJ,CLOAD
CHYBA,ERROR
ZASTAVE,STOPPED
AZ,TO
KROK,STEP
PAK,THEN
CEL,INT
KNIPL,STICK
PSTAR,PTRIG
START,STRIG
